KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Odvozená vazba","CISOB",43,"500011","elechovice nad Døevnicí","KRAJ_NUTS",100,"3131","Zlínskı kraj"
"CS","Odvozená vazba","CISOB",43,"500020","Petrov nad Desnou","KRAJ_NUTS",100,"3123","Olomouckı kraj"
"CS","Odvozená vazba","CISOB",43,"500046","Libhoš","KRAJ_NUTS",100,"3140","Moravskoslezskı kraj"
"CS","Odvozená vazba","CISOB",43,"500062","Krhová","KRAJ_NUTS",100,"3131","Zlínskı kraj"
"CS","Odvozená vazba","CISOB",43,"500071","Polièná","KRAJ_NUTS",100,"3131","Zlínskı kraj"
"CS","Odvozená vazba","CISOB",43,"500101","Braec","KRAJ_NUTS",100,"3051","Karlovarskı kraj"
"CS","Odvozená vazba","CISOB",43,"500127","Doupovské Hradištì","KRAJ_NUTS",100,"3051","Karlovarskı kraj"
"CS","Odvozená vazba","CISOB",43,"500135","Kozlov","KRAJ_NUTS",100,"3123","Olomouckı kraj"
"CS","Odvozená vazba","CISOB",43,"500151","Lubomìø pod Stránou","KRAJ_NUTS",100,"3123","Olomouckı kraj"
"CS","Odvozená vazba","CISOB",43,"500160","Mìsto Libavá","KRAJ_NUTS",100,"3123","Olomouckı kraj"
"CS","Odvozená vazba","CISOB",43,"500194","Polná na Šumavì","KRAJ_NUTS",100,"3034","Jihoèeskı kraj"
"CS","Odvozená vazba","CISOB",43,"500259","Veøovice","KRAJ_NUTS",100,"3140","Moravskoslezskı kraj"
"CS","Odvozená vazba","CISOB",43,"500291","Vøesina","KRAJ_NUTS",100,"3140","Moravskoslezskı kraj"
"CS","Odvozená vazba","CISOB",43,"500496","Olomouc","KRAJ_NUTS",100,"3123","Olomouckı kraj"
"CS","Odvozená vazba","CISOB",43,"500526","Bìlkovice-Lašany","KRAJ_NUTS",100,"3123","Olomouckı kraj"
"CS","Odvozená vazba","CISOB",43,"500623","Bílá Lhota","KRAJ_NUTS",100,"3123","Olomouckı kraj"
"CS","Odvozená vazba","CISOB",43,"500801","Blatec","KRAJ_NUTS",100,"3123","Olomouckı kraj"
"CS","Odvozená vazba","CISOB",43,"500852","Bohuòovice","KRAJ_NUTS",100,"3123","Olomouckı kraj"
"CS","Odvozená vazba","CISOB",43,"500861","Bouzov","KRAJ_NUTS",100,"3123","Olomouckı kraj"
"CS","Odvozená vazba","CISOB",43,"500879","Bystroèice","KRAJ_NUTS",100,"3123","Olomouckı kraj"
"CS","Odvozená vazba","CISOB",43,"501476","Dlouhá Louèka","KRAJ_NUTS",100,"3123","Olomouckı kraj"
